frame,video_s,wall_clock,people
0,0.0,2026-08-09T19:46:19,1
1,0.09,2026-08-09T19:46:19,1
2,0.18,2026-08-09T19:46:19,1
3,0.27,2026-08-09T19:46:19,1
4,0.36,2026-08-09T19:46:19,1
5,0.45,2026-08-09T19:46:19,1
6,0.55,2026-08-09T19:46:19,1
7,0.64,2026-08-09T19:46:19,1
8,0.73,2026-08-09T19:46:20,1
9,0.82,2026-08-09T19:46:20,1
10,0.91,2026-08-09T19:46:20,1
11,1.0,2026-08-09T19:46:20,1
12,1.09,2026-08-09T19:46:20,1
13,1.18,2026-08-09T19:46:20,1
14,1.27,2026-08-09T19:46:20,1
15,1.36,2026-08-09T19:46:20,1
16,1.45,2026-08-09T19:46:21,1
17,1.55,2026-08-09T19:46:21,1
18,1.64,2026-08-09T19:46:21,1
19,1.73,2026-08-09T19:46:21,1
20,1.82,2026-08-09T19:46:21,1
21,1.91,2026-08-09T19:46:21,1
22,2.0,2026-08-09T19:46:21,1
23,2.09,2026-08-09T19:46:21,1
24,2.18,2026-08-09T19:46:21,1
25,2.27,2026-08-09T19:46:22,1
26,2.36,2026-08-09T19:46:22,1
27,2.45,2026-08-09T19:46:22,1
28,2.55,2026-08-09T19:46:22,1
29,2.64,2026-08-09T19:46:22,1
30,2.73,2026-08-09T19:46:22,1
31,2.82,2026-08-09T19:46:22,1
32,2.91,2026-08-09T19:46:22,1
33,3.0,2026-08-09T19:46:23,1
34,3.09,2026-08-09T19:46:23,1
35,3.18,2026-08-09T19:46:23,1
36,3.27,2026-08-09T19:46:23,1
37,3.36,2026-08-09T19:46:23,1
38,3.45,2026-08-09T19:46:23,1
39,3.55,2026-08-09T19:46:23,1
40,3.64,2026-08-09T19:46:23,1
41,3.73,2026-08-09T19:46:24,1
42,3.82,2026-08-09T19:46:24,1
43,3.91,2026-08-09T19:46:24,1
44,4.0,2026-08-09T19:46:24,1
45,4.09,2026-08-09T19:46:24,1
46,4.18,2026-08-09T19:46:24,1
47,4.27,2026-08-09T19:46:24,1
48,4.36,2026-08-09T19:46:24,1
49,4.45,2026-08-09T19:46:24,1
50,4.55,2026-08-09T19:46:25,1
51,4.64,2026-08-09T19:46:25,1
52,4.73,2026-08-09T19:46:25,1
53,4.82,2026-08-09T19:46:25,1
54,4.91,2026-08-09T19:46:25,1
55,5.0,2026-08-09T19:46:25,1
56,5.09,2026-08-09T19:46:25,1
57,5.18,2026-08-09T19:46:25,1
58,5.27,2026-08-09T19:46:26,1
59,5.36,2026-08-09T19:46:26,1
60,5.45,2026-08-09T19:46:26,1
61,5.55,2026-08-09T19:46:26,1
62,5.64,2026-08-09T19:46:26,1
63,5.73,2026-08-09T19:46:26,1
64,5.82,2026-08-09T19:46:26,1
65,5.91,2026-08-09T19:46:26,1
66,6.0,2026-08-09T19:46:27,1
67,6.09,2026-08-09T19:46:27,1
68,6.18,2026-08-09T19:46:27,1
69,6.27,2026-08-09T19:46:27,1
70,6.36,2026-08-09T19:46:27,1
71,6.45,2026-08-09T19:46:27,1
72,6.55,2026-08-09T19:46:27,1
73,6.64,2026-08-09T19:46:27,1
74,6.73,2026-08-09T19:46:28,1
75,6.82,2026-08-09T19:46:28,1
76,6.91,2026-08-09T19:46:28,1
77,7.0,2026-08-09T19:46:28,1
78,7.09,2026-08-09T19:46:28,1
79,7.18,2026-08-09T19:46:28,1
80,7.27,2026-08-09T19:46:28,1
81,7.36,2026-08-09T19:46:28,1
82,7.45,2026-08-09T19:46:28,1
83,7.55,2026-08-09T19:46:29,1
84,7.64,2026-08-09T19:46:29,1
85,7.73,2026-08-09T19:46:29,1
86,7.82,2026-08-09T19:46:29,1
87,7.91,2026-08-09T19:46:29,1
88,8.0,2026-08-09T19:46:29,1
89,8.09,2026-08-09T19:46:29,1
90,8.18,2026-08-09T19:46:29,1
91,8.27,2026-08-09T19:46:30,1
92,8.36,2026-08-09T19:46:30,1
93,8.45,2026-08-09T19:46:30,1
94,8.55,2026-08-09T19:46:30,1
95,8.64,2026-08-09T19:46:30,1
96,8.73,2026-08-09T19:46:30,1
97,8.82,2026-08-09T19:46:30,1
98,8.91,2026-08-09T19:46:30,1
99,9.0,2026-08-09T19:46:30,1
100,9.09,2026-08-09T19:46:31,1
101,9.18,2026-08-09T19:46:31,1
102,9.27,2026-08-09T19:46:31,1
103,9.36,2026-08-09T19:46:31,1
104,9.45,2026-08-09T19:46:31,1
105,9.55,2026-08-09T19:46:31,1
106,9.64,2026-08-09T19:46:31,1
107,9.73,2026-08-09T19:46:31,1
108,9.82,2026-08-09T19:46:32,1
109,9.91,2026-08-09T19:46:32,1
